CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-27T22:16:20","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2026-03-27T10:17:43.399392","10.85961708","0.18365190","34.2409","206.6298","129.8340","247.8844","0","U","5","999","43439","0.00018713000000","0.00000136","0.0000000000000","8613.748","132.601","3817.544","653.682","PAYLOAD","SMALL","US","1958-03-17","AFETR","","5101129","317295444","0 VANGUARD 1","1     5U 58002B   26086.42897453  .00000136  00000-0  18713-3 0  9997","2     5  34.2409 206.6298 1836519 129.8340 247.8844 10.85961708434397"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2026-03-28T12:20:47.453568","11.90303848","0.14452488","32.8756","30.4483","317.7669","32.0001","0","U","11","999","52585","0.00064613981000","0.00001241","0.0000000000000","8102.704","120.978","2895.611","553.526","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","5104379","317441192","0 VANGUARD 2","1 00011U 59001A   26087.51443812  .00001241  00000-0  64614-3 0  9990","2 00011  32.8756  30.4483 1445249 317.7669  32.0001 11.90303848525853"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T16:36:19","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2026-03-28T07:02:59.518752","11.61895706","0.16376100","33.3452","198.1975","339.8711","14.3951","0","U","20","999","47520","0.00026307000000","0.00000665","0.0000000000000","8234.244","123.935","3204.557","507.661","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","5103521","317419876","0 VANGUARD 3","1    20U 59007A   26087.29374443  .00000665  00000-0  26307-3 0  9990","2    20  33.3452 198.1975 1637610 339.8711  14.3951 11.61895706475205"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","EXPLORER 7","1959-009A","EARTH","TEME","UTC","SGP4","2026-03-28T13:47:45.707712","15.27205400","0.00799350","50.2418","138.2658","159.4540","200.9666","0","U","22","999","78802","0.00042665251000","0.00012325","0.0000000000000","6862.308","94.290","539.027","429.319","PAYLOAD","MEDIUM","US","1959-10-13","AFETR","","5104379","317441194","0 EXPLORER 7","1 00022U 59009A   26087.57483458  .00012325  00000-0  42665-3 0  9993","2 00022  50.2418 138.2658 0079935 159.4540 200.9666 15.27205400788020"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","TIROS 1","1960-002B","EARTH","TEME","UTC","SGP4","2026-03-28T14:06:55.865376","14.78663663","0.00228013","48.3792","47.6590","281.6634","78.1721","0","U","29","999","53020","0.00013468718000","0.00000787","0.0000000000000","7011.682","97.385","649.535","617.560","PAYLOAD","MEDIUM","US","1960-04-01","AFETR","","5104379","317440695","0 TIROS 1","1 00029U 60002B   26087.58814659  .00000787  00000-0  13469-3 0  9996","2 00029  48.3792  47.6590 0022801 281.6634  78.1721 14.78663663530206"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","TRANSIT 2A","1960-007A","EARTH","TEME","UTC","SGP4","2026-03-28T13:46:54.589152","14.35910860","0.02533562","66.6934","213.4183","219.3233","138.9234","0","U","45","999","36847","0.00017292765000","0.00000615","0.0000000000000","7150.178","100.285","953.197","590.889","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","5104379","317441195","0 TRANSIT 2A","1 00045U 60007A   26087.57424293  .00000615  00000-0  17293-3 0  9998","2 00045  66.6934 213.4183 0253356 219.3233 138.9234 14.35910860368479"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","SOLRAD 1 (GREB)","1960-007B","EARTH","TEME","UTC","SGP4","2026-03-28T09:49:51.945600","14.54728792","0.01964666","66.6865","88.4574","351.8597","7.9336","0","U","46","999","44525","0.00030285488000","0.00001564","0.0000000000000","7088.383","98.988","849.511","570.985","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","5104379","317440696","0 SOLRAD 1 (GREB)","1 00046U 60007B   26087.40962900  .00001564  00000-0  30285-3 0  9993","2 00046  66.6865  88.4574 0196467 351.8597   7.9336 14.54728792445253"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","COURIER 1B","1960-013A","EARTH","TEME","UTC","SGP4","2026-03-28T14:12:34.336512","13.46427170","0.01648775","28.3272","188.6854","260.4596","97.7282","0","U","58","999","22319","0.00004030385200","0.00000114","0.0000000000000","7463.570","106.950","1208.492","962.377","PAYLOAD","LARGE","US","1960-10-04","AFETR","","5104379","317440699","0 COURIER 1B","1 00058U 60013A   26087.59206408  .00000114  00000-0  40304-4 0  9991","2 00058  28.3272 188.6854 0164877 260.4596  97.7282 13.46427170223191"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","EXPLORER 11","1961-013A","EARTH","TEME","UTC","SGP4","2026-03-28T14:08:11.560416","14.21845248","0.04944264","28.7750","61.0619","95.6966","270.0175","0","U","107","999","26501","0.00029312179000","0.00002523","0.0000000000000","7197.256","101.277","1174.972","463.270","PAYLOAD","MEDIUM","US","1961-04-27","AFETR","","5104379","317441200","0 EXPLORER 11","1 00107U 61013A   26087.58902269  .00002523  00000-0  29312-3 0  9995","2 00107  28.7750  61.0619 0494426  95.6966 270.0175 14.21845248265017"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","TRANSIT 4A","1961-015A","EARTH","TEME","UTC","SGP4","2026-03-28T10:40:49.094688","13.92315883","0.00793498","66.8076","88.4034","325.4129","34.1803","0","U","116","999","28546","0.00008643282900","0.00000037","0.0000000000000","7298.663","103.425","978.443","862.613","PAYLOAD","MEDIUM","US","1961-06-29","AFETR","","5104379","317441201","0 TRANSIT 4A","1 00116U 61015A   26087.44501267  .00000037  00000-0  86433-4 0  9991","2 00116  66.8076  88.4034 0079350 325.4129  34.1803 13.92315883285467"
