CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T05:48:27","18 SPCS","ECHO 1 DEB (METAL OBJ)","1960-009C","EARTH","TEME","UTC","SGP4","2026-03-28T21:39:54.892224","12.18377287","0.01081190","47.2135","297.7873","318.7768","40.4895","0","U","51","999","92138","0.00027732197000","-0.00000056","0.0000000000000","7977.754","118.190","1685.874","1513.364","DEBRIS","MEDIUM","US","1960-08-12","AFETR","","5105224","317494696","0 ECHO 1 DEB (METAL OBJ)","1 00051U 60009C   26087.90271866 -.00000056  00000-0  27732-3 0  9999","2 00051  47.2135 297.7873 0108119 318.7768  40.4895 12.18377287921382"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T05:48:27","18 SPCS","ECHO 1 DEB (METAL OBJ)","1960-009E","EARTH","TEME","UTC","SGP4","2026-03-28T16:59:25.340352","12.17407470","0.01001546","47.2766","230.5905","197.3084","162.4278","0","U","53","999","92562","0.00117367850000","0.00000035","0.0000000000000","7981.990","118.284","1683.799","1523.912","DEBRIS","MEDIUM","US","1960-08-12","AFETR","","5105224","317494697","0 ECHO 1 DEB (METAL OBJ)","1 00053U 60009E   26087.70793218  .00000035  00000-0  11737-2 0  9992","2 00053  47.2766 230.5905 0100155 197.3084 162.4278 12.17407470925627"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T11:26:42","18 SPCS","THOR ABLE DEB (YO)","1960-002D","EARTH","TEME","UTC","SGP4","2026-03-28T04:45:42.638688","14.97701500","0.00273104","48.1618","139.1825","254.2891","105.5014","0","U","115","999","50599","0.00033944883000","0.00003805","0.0000000000000","6952.137","96.147","592.989","555.016","DEBRIS","SMALL","US","1960-04-01","AFETR","","5103506","317386624","0 THOR ABLE DEB (YO)","1 00115U 60002D   26087.19841017  .00003805  00000-0  33945-3 0  9992","2 00115  48.1618 139.1825 0027310 254.2891 105.5014 14.97701500505998"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T05:48:27","18 SPCS","THOR ABLESTAR DEB","1961-015D","EARTH","TEME","UTC","SGP4","2026-03-28T18:54:49.629888","14.27223968","0.01056362","66.7258","237.7347","315.4796","43.7848","0","U","119","999","34684","0.00029873644000","0.00000691","0.0000000000000","7179.162","100.895","876.865","725.189","DEBRIS","MEDIUM","US","1961-06-29","AFETR","","5105224","317494202","0 THOR ABLESTAR DEB","1 00119U 61015D   26087.78807442  .00000691  00000-0  29874-3 0  9996","2 00119  66.7258 237.7347 0105636 315.4796  43.7848 14.27223968346849"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T05:48:27","18 SPCS","THOR ABLESTAR DEB","1961-015E","EARTH","TEME","UTC","SGP4","2026-03-28T21:58:42.573792","14.29486836","0.01047995","66.7039","281.3635","61.0665","300.0894","0","U","120","999","33685","0.00031665549000","0.00000774","0.0000000000000","7171.584","100.735","868.606","718.291","DEBRIS","MEDIUM","US","1961-06-29","AFETR","","5105224","317494702","0 THOR ABLESTAR DEB","1 00120U 61015E   26087.91577053  .00000774  00000-0  31666-3 0  9999","2 00120  66.7039 281.3635 0104799  61.0665 300.0894 14.29486836336858"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T05:48:27","18 SPCS","THOR ABLESTAR DEB","1961-015F","EARTH","TEME","UTC","SGP4","2026-03-28T17:48:39.694176","14.00217659","0.00869092","66.7463","241.4861","59.0664","301.8925","0","U","121","999","31510","0.00006340278000","0.00000018","0.0000000000000","7271.179","102.841","956.237","829.850","DEBRIS","MEDIUM","US","1961-06-29","AFETR","","5105224","317494203","0 THOR ABLESTAR DEB","1 00121U 61015F   26087.74212609  .00000018  00000-0  63403-4 0  9990","2 00121  66.7463 241.4861 0086909  59.0664 301.8925 14.00217659315109"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T16:36:19","18 SPCS","THOR ABLESTAR DEB","1961-015G","EARTH","TEME","UTC","SGP4","2026-03-28T06:26:12.707232","14.99680116","0.00455180","66.7406","59.6050","269.0997","90.4922","0","U","122","999","38213","0.00113530000000","0.00014237","0.0000000000000","6946.021","96.020","599.503","536.269","DEBRIS","MEDIUM","US","1961-06-29","AFETR","","5103523","317419928","0 THOR ABLESTAR DEB","1   122U 61015G   26087.26820263  .00014237  00000-0  11353-2 0  9992","2   122  66.7406  59.6050 0045518 269.0997  90.4922 14.99680116382134"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T05:48:27","18 SPCS","THOR ABLESTAR DEB","1961-015H","EARTH","TEME","UTC","SGP4","2026-03-28T22:11:17.952576","14.41596918","0.01132464","66.6851","282.0447","325.2816","34.0932","0","U","123","999","36796","0.00019932623000","0.00000605","0.0000000000000","7131.364","99.889","833.989","672.469","DEBRIS","MEDIUM","US","1961-06-29","AFETR","","5105224","317494204","0 THOR ABLESTAR DEB","1 00123U 61015H   26087.92451334  .00000605  00000-0  19933-3 0  9992","2 00123  66.6851 282.0447 0113246 325.2816  34.0932 14.41596918367961"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR DEB","1961-015J","EARTH","TEME","UTC","SGP4","2026-03-28T09:53:37.514400","14.35882916","0.00703790","66.5422","98.2855","194.4543","165.4546","0","U","124","999","34733","0.00036169651000","0.00000992","0.0000000000000","7150.271","100.287","822.459","721.813","DEBRIS","SMALL","US","1961-06-29","AFETR","","5104379","317441205","0 THOR ABLESTAR DEB","1 00124U 61015J   26087.41223975  .00000992  00000-0  36170-3 0  9996","2 00124  66.5422  98.2855 0070379 194.4543 165.4546 14.35882916347335"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T00:16:19","18 SPCS","THOR ABLESTAR DEB","1961-015K","EARTH","TEME","UTC","SGP4","2026-03-28T13:49:52.281120","14.07653609","0.00667370","66.8741","131.0594","126.6207","234.1045","0","U","125","999","30591","0.00036276000000","0.00000547","0.0000000000000","7245.549","102.298","915.769","819.060","DEBRIS","SMALL","US","1961-06-29","AFETR","","5104461","317475799","0 THOR ABLESTAR DEB","1   125U 61015K   26087.57629955  .00000547  00000-0  36276-3 0  9995","2   125  66.8741 131.0594 0066737 126.6207 234.1045 14.07653609305916"
