CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T00:16:19","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2026-03-28T13:22:30.597312","11.48581026","0.16460940","32.8954","149.3958","38.1608","332.4776","0","U","12","999","52205","0.00024134000000","0.00000404","0.0000000000000","8297.758","125.372","3285.512","553.734","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","5104460","317475284","0 VANGUARD R/B","1    12U 59001B   26087.55729858  .00000404  00000-0  24134-3 0  9995","2    12  32.8954 149.3958 1646094  38.1608 332.4776 11.48581026522053"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T16:36:19","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2026-03-28T06:42:13.704192","10.49580969","0.20194130","34.2581","178.9925","138.8704","238.3080","0","U","16","999","68041","0.00003249200000","0.00000017","0.0000000000000","8811.663","137.198","4212.967","654.089","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","5103521","317419376","0 VANGUARD R/B","1    16U 58002A   26087.27932528  .00000017  00000-0  32492-4 0  9995","2    16  34.2581 178.9925 2019413 138.8704 238.3080 10.49580969680418"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T05:48:27","18 SPCS","THOR ABLESTAR R/B","1960-007C","EARTH","TEME","UTC","SGP4","2026-03-28T20:03:28.856160","14.45216522","0.02210414","66.6630","262.5198","198.7711","160.5153","0","U","47","999","43919","0.00021436490000","0.00000904","0.0000000000000","7119.452","99.639","898.686","583.948","ROCKET BODY","LARGE","US","1960-06-22","AFETR","","5105224","317494695","0 THOR ABLESTAR R/B","1 00047U 60007C   26087.83575065  .00000904  00000-0  21436-3 0  9998","2 00047  66.6630 262.5198 0221041 198.7711 160.5153 14.45216522439196"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T00:06:19","18 SPCS","DELTA 1 R/B","1960-009B","EARTH","TEME","UTC","SGP4","2026-03-28T14:42:10.954656","12.20162942","0.01128600","47.2319","51.8212","134.9040","226.0975","0","U","50","999","92786","0.00033658000000","-0.00000050","0.0000000000000","7969.969","118.017","1681.783","1501.885","ROCKET BODY","MEDIUM","US","1960-08-12","AFETR","","5104386","317473454","0 DELTA 1 R/B","1    50U 60009B   26087.61262679 -.00000050  00000-0  33658-3 0  9996","2    50  47.2319  51.8212 0112860 134.9040 226.0975 12.20162942927863"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T00:06:19","18 SPCS","THOR ABLESTAR R/B","1960-013B","EARTH","TEME","UTC","SGP4","2026-03-28T13:57:45.639936","13.53166003","0.01889840","28.2475","177.7076","359.1205","0.8994","0","U","59","999","23224","0.00002978500000","0.00000108","0.0000000000000","7438.770","106.417","1201.216","920.054","ROCKET BODY","LARGE","US","1960-10-04","AFETR","","5104386","317473456","0 THOR ABLESTAR R/B","1    59U 60013B   26087.58177824  .00000108  00000-0  29785-4 0  9993","2    59  28.2475 177.7076 0188984 359.1205   0.8994 13.53166003232243"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T05:48:27","18 SPCS","SCOUT X-1 R/B","1961-004B","EARTH","TEME","UTC","SGP4","2026-03-28T21:40:01.791264","12.27883168","0.11670816","38.8588","297.9933","197.4337","158.2806","0","U","82","999","6693","0.00022619498000","0.00000246","0.0000000000000","7936.527","117.275","2484.649","632.134","ROCKET BODY","MEDIUM","US","1961-02-16","WLPIS","","5105224","317494199","0 SCOUT X-1 R/B","1 00082U 61004B   26087.90279851  .00000246  00000-0  22619-3 0  9990","2 00082  38.8588 297.9933 1167082 197.4337 158.2806 12.27883168 66933"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T05:48:27","18 SPCS","THOR ABLESTAR R/B","1961-015C","EARTH","TEME","UTC","SGP4","2026-03-28T20:35:41.695872","14.02707683","0.00861626","66.7623","260.9345","324.6203","34.9183","0","U","118","999","30487","0.00014363416000","0.00000150","0.0000000000000","7262.571","102.659","947.012","821.860","ROCKET BODY","LARGE","US","1961-06-29","AFETR","","5105224","317494701","0 THOR ABLESTAR R/B","1 00118U 61015C   26087.85812148  .00000150  00000-0  14363-3 0  9999","2 00118  66.7623 260.9345 0086163 324.6203  34.9183 14.02707683304873"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T00:06:19","18 SPCS","THOR ABLESTAR R/B","1961-031C","EARTH","TEME","UTC","SGP4","2026-03-28T17:14:59.140320","13.65076922","0.00984310","32.4412","101.6596","59.4455","301.5838","0","U","204","999","21202","0.00004412900000","0.00000058","0.0000000000000","7395.436","105.489","1090.095","944.507","ROCKET BODY","LARGE","US","1961-11-15","AFETR","","5104390","317473503","0 THOR ABLESTAR R/B","1   204U 61031C   26087.71874005  .00000058  00000-0  44129-4 0  9999","2   204  32.4412 101.6596 0098431  59.4455 301.5838 13.65076922212025"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","DELTA 1 R/B","1962-029B","EARTH","TEME","UTC","SGP4","2026-03-28T12:49:20.633376","9.14309064","0.24214769","44.7976","6.0129","100.1147","45.1914","0","U","341","999","12775","0.00106864070000","0.00000094","0.0000000000000","9660.653","157.496","5621.823","943.213","ROCKET BODY","MEDIUM","US","1962-07-10","AFETR","","5104379","317440745","0 DELTA 1 R/B","1 00341U 62029B   26087.53426659  .00000094  00000-0  10686-2 0  9996","2 00341  44.7976   6.0129 2421477 100.1147  45.1914  9.14309064127758"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-29T05:48:27","18 SPCS","THOR AGENA B R/B","1962-049B","EARTH","TEME","UTC","SGP4","2026-03-28T19:34:46.233696","13.68752338","0.00186631","80.4742","347.4855","75.8258","356.0607","0","U","426","999","16913","0.00006613568900","0.00000066","0.0000000000000","7382.191","105.205","1017.833","990.278","ROCKET BODY","LARGE","US","1962-09-29","AFWTR","","5105224","317494754","0 THOR AGENA B R/B","1 00426U 62049B   26087.81581289  .00000066  00000-0  66136-4 0  9996","2 00426  80.4742 347.4855 0018663  75.8258 356.0607 13.68752338169137"
