CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2026-03-28T13:22:30.597312","11.48581026","0.16460943","32.8954","149.3958","38.1608","332.4776","0","U","12","999","52205","0.00024134435000","0.00000404","0.0000000000000","8297.758","125.372","3285.512","553.734","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","5104379","317440693","0 VANGUARD R/B","1 00012U 59001B   26087.55729858  .00000404  00000-0  24134-3 0  9995","2 00012  32.8954 149.3958 1646094  38.1608 332.4776 11.48581026522053"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T16:36:19","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2026-03-28T06:42:13.704192","10.49580969","0.20194130","34.2581","178.9925","138.8704","238.3080","0","U","16","999","68041","0.00003249200000","0.00000017","0.0000000000000","8811.663","137.198","4212.967","654.089","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","5103521","317419376","0 VANGUARD R/B","1    16U 58002A   26087.27932528  .00000017  00000-0  32492-4 0  9995","2    16  34.2581 178.9925 2019413 138.8704 238.3080 10.49580969680418"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR R/B","1960-007C","EARTH","TEME","UTC","SGP4","2026-03-28T13:24:51.943392","14.45215775","0.02210704","66.6629","263.2637","198.9719","160.3059","0","U","47","999","43915","0.00020257500000","0.00000848","0.0000000000000","7119.454","99.639","898.709","583.929","ROCKET BODY","LARGE","US","1960-06-22","AFETR","","5104379","317441196","0 THOR ABLESTAR R/B","1 00047U 60007C   26087.55893453  .00000848  00000-0  20258-3 0  9999","2 00047  66.6629 263.2637 0221070 198.9719 160.3059 14.45215775439150"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T16:36:19","18 SPCS","DELTA 1 R/B","1960-009B","EARTH","TEME","UTC","SGP4","2026-03-28T06:50:26.380320","12.20162926","0.01128580","47.2318","52.8380","133.9278","227.0891","0","U","50","999","92782","0.00037942000000","-0.00000046","0.0000000000000","7969.969","118.017","1681.781","1501.886","ROCKET BODY","MEDIUM","US","1960-08-12","AFETR","","5103522","317419901","0 DELTA 1 R/B","1    50U 60009B   26087.28502755 -.00000046  00000-0  37942-3 0  9996","2    50  47.2318  52.8380 0112858 133.9278 227.0891 12.20162926927824"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR R/B","1960-013B","EARTH","TEME","UTC","SGP4","2026-03-28T13:57:45.639936","13.53166003","0.01889837","28.2475","177.7077","359.1205","0.8994","0","U","59","999","23224","0.00002978491800","0.00000108","0.0000000000000","7438.770","106.417","1201.215","920.054","ROCKET BODY","LARGE","US","1960-10-04","AFETR","","5104379","317441199","0 THOR ABLESTAR R/B","1 00059U 60013B   26087.58177824  .00000108  00000-0  29785-4 0  9993","2 00059  28.2475 177.7077 0188984 359.1205   0.8994 13.53166003232244"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","SCOUT X-1 R/B","1961-004B","EARTH","TEME","UTC","SGP4","2026-03-28T13:51:34.037856","12.27882910","0.11670551","38.8586","299.2017","195.8590","160.2363","0","U","82","999","6689","0.00021774021000","0.00000235","0.0000000000000","7936.528","117.275","2484.629","632.156","ROCKET BODY","MEDIUM","US","1961-02-16","WLPIS","","5104379","317440700","0 SCOUT X-1 R/B","1 00082U 61004B   26087.57747729  .00000235  00000-0  21774-3 0  9996","2 00082  38.8586 299.2017 1167055 195.8590 160.2363 12.27882910 66892"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR R/B","1961-015C","EARTH","TEME","UTC","SGP4","2026-03-28T13:45:00.229248","14.02707579","0.00861393","66.7622","261.6460","324.8039","34.7374","0","U","118","999","30483","0.00013747119000","0.00000140","0.0000000000000","7262.571","102.659","946.996","821.877","ROCKET BODY","LARGE","US","1961-06-29","AFETR","","5104379","317441202","0 THOR ABLESTAR R/B","1 00118U 61015C   26087.57291932  .00000140  00000-0  13747-3 0  9994","2 00118  66.7622 261.6460 0086139 324.8039  34.7374 14.02707579304830"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T11:26:42","18 SPCS","THOR ABLESTAR R/B","1961-031C","EARTH","TEME","UTC","SGP4","2026-03-28T01:27:02.492064","13.65076859","0.00984392","32.4411","104.9642","54.4238","306.5513","0","U","204","999","21193","0.00004532013900","0.00000059","0.0000000000000","7395.436","105.489","1090.101","944.501","ROCKET BODY","LARGE","US","1961-11-15","AFETR","","5103506","317386646","0 THOR ABLESTAR R/B","1 00204U 61031C   26087.06044551  .00000059  00000-0  45320-4 0  9997","2 00204  32.4411 104.9642 0098439  54.4238 306.5513 13.65076859211937"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","DELTA 1 R/B","1962-029B","EARTH","TEME","UTC","SGP4","2026-03-28T12:49:20.633376","9.14309064","0.24214769","44.7976","6.0129","100.1147","45.1914","0","U","341","999","12775","0.00106864070000","0.00000094","0.0000000000000","9660.653","157.496","5621.823","943.213","ROCKET BODY","MEDIUM","US","1962-07-10","AFETR","","5104379","317440745","0 DELTA 1 R/B","1 00341U 62029B   26087.53426659  .00000094  00000-0  10686-2 0  9996","2 00341  44.7976   6.0129 2421477 100.1147  45.1914  9.14309064127758"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR AGENA B R/B","1962-049B","EARTH","TEME","UTC","SGP4","2026-03-28T11:17:57.786144","13.68752295","0.00186630","80.4742","347.8262","76.6637","96.0960","0","U","426","999","16908","0.00006911384900","0.00000069","0.0000000000000","7382.191","105.205","1017.833","990.278","ROCKET BODY","LARGE","US","1962-09-29","AFWTR","","5104379","317441255","0 THOR AGENA B R/B","1 00426U 62049B   26087.47080771  .00000069  00000-0  69114-4 0  9990","2 00426  80.4742 347.8262 0018663  76.6637  96.0960 13.68752295169082"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T16:36:19","18 SPCS","THOR ABLESTAR R/B","1962-060B","EARTH","TEME","UTC","SGP4","2026-03-28T07:15:34.348032","13.39170130","0.00658580","50.1293","94.9093","296.8187","158.8197","0","U","447","999","10123","0.00004966500000","-0.00000100","0.0000000000000","7490.509","107.529","1161.705","1063.043","ROCKET BODY","LARGE","US","1962-10-31","AFETR","","5103536","317419601","0 THOR ABLESTAR R/B","1   447U 62060B   26087.30248088 -.00000100  00000-0  49665-4 0  9991","2   447  50.1293  94.9093 0065858 296.8187 158.8197 13.39170130101238"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","DELTA 1 R/B","1962-068B","EARTH","TEME","UTC","SGP4","2026-03-28T09:20:19.290624","7.79277481","0.28286247","47.4986","101.3572","180.8579","178.6260","0","U","515","999","80155","0.00000000000000","-0.00000022","0.0000000000000","10746.666","184.787","7408.360","1328.703","ROCKET BODY","MEDIUM","US","1962-12-13","AFETR","","5104379","317441263","0 DELTA 1 R/B","1 00515U 62068B   26087.38911216 -.00000022  00000-0  00000-0 0  9992","2 00515  47.4986 101.3572 2828625 180.8579 178.6260  7.79277481801552"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T16:36:19","18 SPCS","DELTA 1 R/B","1963-013B","EARTH","TEME","UTC","SGP4","2026-03-28T06:20:16.013472","6.40268895","0.40042500","42.7783","11.0967","116.6884","22.3226","0","U","575","999","47080","0.00208820000000","0.00000107","0.0000000000000","12250.681","224.906","10778.025","967.067","ROCKET BODY","MEDIUM","US","1963-05-07","AFETR","","5103542","317419677","0 DELTA 1 R/B","1   575U 63013B   26087.26407423  .00000107  00000-0  20882-2 0  9991","2   575  42.7783  11.0967 4004250 116.6884  22.3226  6.40268895470807"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR R/B","1963-038A","EARTH","TEME","UTC","SGP4","2026-03-28T14:23:58.333344","13.46127811","0.00260050","89.9811","334.3992","352.4511","68.5867","0","U","669","999","6886","0.00004937261700","0.00000039","0.0000000000000","7464.676","106.973","1105.953","1067.129","ROCKET BODY","LARGE","US","1963-09-28","AFWTR","","5104379","317440785","0 THOR ABLESTAR R/B","1 00669U 63038A   26087.59998071  .00000039  00000-0  49373-4 0  9994","2 00669  89.9811 334.3992 0026005 352.4511  68.5867 13.46127811 68868"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","ATLAS CENTAUR 2 R/B","1963-047A","EARTH","TEME","UTC","SGP4","2026-03-28T08:23:35.635200","14.12140179","0.05474375","30.3573","91.3523","244.7532","109.5367","0","U","694","999","13426","0.00027870784000","0.00002398","0.0000000000000","7230.194","101.973","1247.867","456.251","ROCKET BODY","LARGE","US","1963-11-27","AFETR","","5104379","317440788","0 ATLAS CENTAUR 2 R/B","1 00694U 63047A   26087.34971800  .00002398  00000-0  27871-3 0  9994","2 00694  30.3573  91.3523 0547437 244.7532 109.5367 14.12140179134269"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR ABLESTAR R/B","1963-049A","EARTH","TEME","UTC","SGP4","2026-03-28T12:00:29.499552","13.49995599","0.00173140","89.9199","70.8192","138.2751","335.1078","0","U","703","999","6837","0.00006467857200","0.00000051","0.0000000000000","7450.412","106.667","1085.176","1059.377","ROCKET BODY","LARGE","US","1963-12-05","AFWTR","","5104379","317441290","0 THOR ABLESTAR R/B","1 00703U 63049A   26087.50034143  .00000051  00000-0  64679-4 0  9997","2 00703  89.9199  70.8192 0017314 138.2751 335.1078 13.49995599 68371"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","SCOUT X-4 R/B","1963-053B","EARTH","TEME","UTC","SGP4","2026-03-28T13:56:30.527232","12.55077014","0.10882546","78.6039","190.3722","208.4482","145.2839","0","U","721","999","83994","0.00032459920000","0.00000554","0.0000000000000","7821.468","114.734","2294.508","592.158","ROCKET BODY","MEDIUM","US","1963-12-19","AFWTR","","5104379","317440794","0 SCOUT X-4 R/B","1 00721U 63053B   26087.58090888  .00000554  00000-0  32460-3 0  9998","2 00721  78.6039 190.3722 1088255 208.4482 145.2839 12.55077014839943"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR AGENA D R/B","1964-001A","EARTH","TEME","UTC","SGP4","2026-03-28T12:00:05.471712","13.95785568","0.00125857","69.9037","103.6447","164.0739","196.0764","0","U","727","999","16589","0.00005025542000","0.00000015","0.0000000000000","7286.563","103.168","917.598","899.257","ROCKET BODY","LARGE","US","1964-01-11","AFWTR","","5104379","317441294","0 THOR AGENA D R/B","1 00727U 64001A   26087.50006333  .00000015  00000-0  50255-4 0  9997","2 00727  69.9037 103.6447 0012586 164.0739 196.0764 13.95785568165898"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR AGENA D R/B","1964-002A","EARTH","TEME","UTC","SGP4","2026-03-28T13:41:10.863168","14.34029853","0.00325490","99.1215","101.9366","201.8827","158.0968","0","U","733","999","24100","0.00009013614000","0.00000204","0.0000000000000","7156.429","100.416","801.588","755.001","ROCKET BODY","LARGE","US","1964-01-19","AFWTR","","5104379","317441297","0 THOR AGENA D R/B","1 00733U 64002A   26087.57026462  .00000204  00000-0  90136-4 0  9999","2 00733  99.1215 101.9366 0032549 201.8827 158.0968 14.34029853241002"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-27T10:51:03","18 SPCS","DELTA 1 R/B","1964-003B","EARTH","TEME","UTC","SGP4","2026-03-27T01:04:40.238688","7.39351137","0.26077256","46.4650","86.3443","281.8044","50.4313","0","U","738","999","67940","0.00000000000000","-0.00000010","0.0000000000000","11130.158","194.765","7654.463","1849.583","ROCKET BODY","MEDIUM","US","1964-01-21","AFETR","","5101052","317228365","0 DELTA 1 R/B","1 00738U 64003B   26086.04491017 -.00000010  00000-0  00000-0 0  9991","2 00738  46.4650  86.3443 2607726 281.8044  50.4313  7.39351137679401"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR AGENA B R/B","1964-004B","EARTH","TEME","UTC","SGP4","2026-03-28T12:41:30.492960","13.23825942","0.01726233","81.4896","228.6500","88.4198","342.3311","0","U","741","999","240","-0.00005871693800","-0.00000015","0.0000000000000","7548.279","108.776","1300.444","1039.843","ROCKET BODY","LARGE","US","1964-01-25","AFWTR","","5104379","317441300","0 THOR AGENA B R/B","1 00741U 64004B   26087.52882515 -.00000015  00000-0 -58717-4 0  9995","2 00741  81.4896 228.6500 0172623  88.4198 342.3311 13.23825942  2404"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","SCOUT X-4 R/B","1964-026D","EARTH","TEME","UTC","SGP4","2026-03-28T11:33:19.776096","14.10753428","0.00383323","90.4496","173.8262","324.2650","35.5970","0","U","809","999","16676","0.00012535200000","0.00000235","0.0000000000000","7234.932","102.073","884.530","829.063","ROCKET BODY","MEDIUM","US","1964-06-04","AFWTR","","5104379","317440805","0 SCOUT X-4 R/B","1 00809U 64026D   26087.48147889  .00000235  00000-0  12535-3 0  9996","2 00809  90.4496 173.8262 0038332 324.2650  35.5970 14.10753428166761"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-03-28T21:48:48","18 SPCS","THOR AGENA D R/B","1964-031C","EARTH","TEME","UTC","SGP4","2026-03-28T13:40:37.460928","14.28474307","0.00117372","99.8154","27.8876","161.7513","198.4087","0","U","815","999","20949","0.00009251729600","0.00000177","0.0000000000000","7174.972","100.807","805.259","788.416","ROCKET BODY","LARGE","US","1964-06-18","AFWTR","","5104379","317441306","0 THOR AGENA D R/B","1 00815U 64031C   26087.56987802  .00000177  00000-0  92517-4 0  9999","2 00815  99.8154  27.8876 0011737 161.7513 198.4087 14.28474307209494"
